,Artist,Position,Streams,Track Name,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
44,Pedro Sampaio,45,1297102,Vai menina,0.413,https://api.spotify.com/v1/audio-analysis/1oQppEGTHYN53xfEaTz4ua,0.795,122435,0.878,1oQppEGTHYN53xfEaTz4ua,0.0,1,0.0968,-3.261,0,0.278,149.971,4,https://api.spotify.com/v1/tracks/1oQppEGTHYN53xfEaTz4ua,audio_features,spotify:track:1oQppEGTHYN53xfEaTz4ua,0.963
45,POCAH,46,1278563,Não sou obrigada,0.356,https://api.spotify.com/v1/audio-analysis/0nkDm27DGppCSk8dnGtvPa,0.819,148340,0.951,0nkDm27DGppCSk8dnGtvPa,0.0,6,0.145,-2.896,0,0.141,153.963,4,https://api.spotify.com/v1/tracks/0nkDm27DGppCSk8dnGtvPa,audio_features,spotify:track:0nkDm27DGppCSk8dnGtvPa,0.963
46,Ed Sheeran,47,1270851,I Don't Care (with Justin Bieber),0.0912,https://api.spotify.com/v1/audio-analysis/0hVXuCcriWRGvwMV1r5Yn9,0.798,219947,0.675,0hVXuCcriWRGvwMV1r5Yn9,0.0,6,0.0894,-5.041,1,0.0442,101.956,4,https://api.spotify.com/v1/tracks/0hVXuCcriWRGvwMV1r5Yn9,audio_features,spotify:track:0hVXuCcriWRGvwMV1r5Yn9,0.842
47,A Banca Records,48,1255083,Outro Dia,0.313,https://api.spotify.com/v1/audio-analysis/1lTsRXDMWFbsFjQGkbL5TX,0.841,232525,0.303,1lTsRXDMWFbsFjQGkbL5TX,7.14e-06,9,0.0926,-14.794,1,0.389,128.061,4,https://api.spotify.com/v1/tracks/1lTsRXDMWFbsFjQGkbL5TX,audio_features,spotify:track:1lTsRXDMWFbsFjQGkbL5TX,0.32
48,Murilo Huff,49,1198438,Dois Enganados,0.699,https://api.spotify.com/v1/audio-analysis/72N0CRIAqjETbhghrkCUW2,0.711,172751,0.56,72N0CRIAqjETbhghrkCUW2,0.0,1,0.857,-4.098,1,0.0355,105.05,4,https://api.spotify.com/v1/tracks/72N0CRIAqjETbhghrkCUW2,audio_features,spotify:track:72N0CRIAqjETbhghrkCUW2,0.504
49,Pineapple StormTv,50,1196689,Poesia Acústica #6: Era uma Vez,0.426,https://api.spotify.com/v1/audio-analysis/13Rf6RaZT13TW4xLQR3MQr,0.518,577819,0.575,13Rf6RaZT13TW4xLQR3MQr,0.0,5,0.154,-10.454,0,0.0524,93.886,4,https://api.spotify.com/v1/tracks/13Rf6RaZT13TW4xLQR3MQr,audio_features,spotify:track:13Rf6RaZT13TW4xLQR3MQr,0.576
50,Diego & Victor Hugo,51,1185757,Áudio - Ao Vivo em Brasília,0.515,https://api.spotify.com/v1/audio-analysis/2PqPSf3gtTED79rWGwVtYg,0.605,190245,0.812,2PqPSf3gtTED79rWGwVtYg,0.0,11,0.419,-4.699,1,0.0403,110.081,4,https://api.spotify.com/v1/tracks/2PqPSf3gtTED79rWGwVtYg,audio_features,spotify:track:2PqPSf3gtTED79rWGwVtYg,0.451
51,Vitão,52,1157440,Café,0.0537,https://api.spotify.com/v1/audio-analysis/6i9ToXS6CAfjpp8veBklg1,0.776,190435,0.5,6i9ToXS6CAfjpp8veBklg1,0.0,11,0.344,-4.788,1,0.0979,92.027,4,https://api.spotify.com/v1/tracks/6i9ToXS6CAfjpp8veBklg1,audio_features,spotify:track:6i9ToXS6CAfjpp8veBklg1,0.491
52,Melim,53,1142212,Meu Abrigo,0.214,https://api.spotify.com/v1/audio-analysis/5U28PY9MekLyCBYtLHGQpe,0.658,231474,0.572,5U28PY9MekLyCBYtLHGQpe,0.0,3,0.125,-7.527,1,0.0304,92.011,4,https://api.spotify.com/v1/tracks/5U28PY9MekLyCBYtLHGQpe,audio_features,spotify:track:5U28PY9MekLyCBYtLHGQpe,0.741
53,Diego & Victor Hugo,54,1132969,Do Copo Eu Vim (feat. Marília Mendonça) - Ao Vivo em Brasília,0.67,https://api.spotify.com/v1/audio-analysis/7sl95MXCpM8WWsaH1BqvR3,0.662,144071,0.884,7sl95MXCpM8WWsaH1BqvR3,0.0,0,0.45,-3.239,1,0.064,117.038,4,https://api.spotify.com/v1/tracks/7sl95MXCpM8WWsaH1BqvR3,audio_features,spotify:track:7sl95MXCpM8WWsaH1BqvR3,0.705
