,_id,album,artists,country,duration_ms,href,id,name,popularity,album_href,artists_href,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
42,5cdcc0e5e77ddf1a8fa6bbd1,Grandes Éxitos,Grupo Play,argentina,180826,https://api.spotify.com/v1/tracks/46mJqGG0fpVEgUGXauflCM,46mJqGG0fpVEgUGXauflCM,Quiero Verte Bailar,33,https://api.spotify.com/v1/albums/1zorAPx3ZhUmxoQJWKjSxw,https://api.spotify.com/v1/artists/2PFG7Z9o7dUTCCVAuzZYJS,0.536,0.754,-2.422,0.0399,0.15,0.0,0.0957,0.847,196.262
43,5cdcc0e5e77ddf1a8fa6bbd3,No Es Tan Fácil Ser el Reja,El Reja,argentina,180415,https://api.spotify.com/v1/tracks/4eE0qw6dWYV3hEBORcQnLC,4eE0qw6dWYV3hEBORcQnLC,Volvió el Verano,0,https://api.spotify.com/v1/albums/59kKCl5NhuxkvkC29OjXfN,https://api.spotify.com/v1/artists/7HSeegdmjLYRJpkOYIaZIW,0.784,0.748,-6.195,0.0643,0.0552,0.0,0.0989,0.923,105.007
44,5cdcc0e5e77ddf1a8fa6bbd5,Curiosidad,Rombai,argentina,160783,https://api.spotify.com/v1/tracks/5umjfZYmNgxQQshcKQ0eRn,5umjfZYmNgxQQshcKQ0eRn,Curiosidad,24,https://api.spotify.com/v1/albums/1twhipG3tEeQDrBnfsGxYU,https://api.spotify.com/v1/artists/5KQX0Ui06LVm6PApyicRFK,0.758,0.848,-6.664,0.057,0.0605,0.0,0.0807,0.885,113.973
45,5cdcc0e5e77ddf1a8fa6bbd6,Yo tambien,Rombai,argentina,160574,https://api.spotify.com/v1/tracks/4xJ2HdYh9tQkGkHtWkoxu5,4xJ2HdYh9tQkGkHtWkoxu5,Yo tambien,24,https://api.spotify.com/v1/albums/6lGSDr5ox78smkSrBukiJm,https://api.spotify.com/v1/artists/5KQX0Ui06LVm6PApyicRFK,0.549,0.645,-5.156,0.148,0.0959,0.0,0.271,0.909,200.174
46,5cdcc0e5e77ddf1a8fa6bbd7,Todo Comenzó Bailando,Marama,argentina,130909,https://api.spotify.com/v1/tracks/347TStOSY6IOqMB84Rpxwk,347TStOSY6IOqMB84Rpxwk,Nena,54,https://api.spotify.com/v1/albums/0yLhNN1wvArT1xOU9Y8s4S,https://api.spotify.com/v1/artists/4GepMkTgrIZECoCC55vqjW,0.75,0.716,-5.438,0.0336,0.11,0.0,0.0912,0.881,110.068
47,5cdcc0e5e77ddf1a8fa6bbd8,No te vayas,Marama,argentina,142844,https://api.spotify.com/v1/tracks/0TT3xfpEy5E0Cmdin5OefU,0TT3xfpEy5E0Cmdin5OefU,No te vayas,0,https://api.spotify.com/v1/albums/3ce8GA253tW5YRqoWBdw1c,https://api.spotify.com/v1/artists/4GepMkTgrIZECoCC55vqjW,0.573,0.811,-4.609,0.0522,0.214,0.0,0.141,0.899,142.891
48,5cdcc0e5e77ddf1a8fa6bbd9,Todo Comenzó Bailando,Marama,argentina,175255,https://api.spotify.com/v1/tracks/5TA9pPL5ATRFcyI9rRBMQ0,5TA9pPL5ATRFcyI9rRBMQ0,Te Amo y Odio,47,https://api.spotify.com/v1/albums/0yLhNN1wvArT1xOU9Y8s4S,https://api.spotify.com/v1/artists/4GepMkTgrIZECoCC55vqjW,0.715,0.736,-6.276,0.0347,0.277,0.0,0.0996,0.76,99.871
49,5cdcc0e5e77ddf1a8fa6bbda,Todo Comenzó Bailando,Marama,argentina,146506,https://api.spotify.com/v1/tracks/2rrWhFrcSZcZQ2SDKPGKQ6,2rrWhFrcSZcZQ2SDKPGKQ6,Todo Comenzó Bailando,51,https://api.spotify.com/v1/albums/0yLhNN1wvArT1xOU9Y8s4S,https://api.spotify.com/v1/artists/4GepMkTgrIZECoCC55vqjW,0.39,0.641,-5.807,0.0663,0.0738,0.0,0.0724,0.931,48.754
50,5cdcc0e5e77ddf1a8fa6bbdc,Todo comenzó bailando,Marama,argentina,160400,https://api.spotify.com/v1/tracks/6OMoCJN4LadidmdP6jmgAi,6OMoCJN4LadidmdP6jmgAi,Volverte a ver,0,https://api.spotify.com/v1/albums/3tbHZB3jPGk4m8ynH4PgP2,https://api.spotify.com/v1/artists/4GepMkTgrIZECoCC55vqjW,0.696,0.672,-4.857,0.048,0.0408,0.0,0.287,0.966,99.787
51,5cdcc0e5e77ddf1a8fa6bbde,#Tocoparavos,#TocoParaVos,argentina,149160,https://api.spotify.com/v1/tracks/1A3yLIqelu1D7MCtw06Cu7,1A3yLIqelu1D7MCtw06Cu7,Hasta la luna,50,https://api.spotify.com/v1/albums/3cz9fxBXppuImbufikGk2D,https://api.spotify.com/v1/artists/4PdggFNYwGfjRfkdG5OfES,0.837,0.605,-6.122,0.0798,0.0124,0.0,0.0715,0.723,107.998
